DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
2001-02-15,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.12,2.12,2.12,2.12,2.12,2.11,2.5,1,7000,14840.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,65
2001-02-16,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,14.01,14.01,14.01,14.01,14.01,14.01,15.5,4,500000,7005.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-02-16,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,81.0,81.0,81.0,81.0,81.0,81.0,84.99,2,100000,8100.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-16,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,7.02,7.02,7.02,7.02,7.02,7.0,0.0,1,1000000,7020.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-02-19,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,81.0,81.0,81.0,81.0,81.0,80.0,83.99,4,700000,56700.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-19,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,14.01,14.01,14.01,14.01,14.01,14.01,17.8,2,300000,4203.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-02-19,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.7,6.7,6.7,6.7,6.7,6.7,0.0,1,100000,670.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-02-19,02,TMGC11,10,TELEMIG CL,PNE*,0,R$,40.0,40.0,40.0,40.0,40.0,40.0,42.0,1,100000,4000.0,0.0,0,9999-12-31,1000,0.0,BRTMGCACNPE8,100
2001-02-20,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,14.01,14.01,14.01,14.01,14.01,14.01,17.8,1,100000,1401.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-02-20,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,81.0,81.0,81.0,81.0,81.0,81.0,84.0,4,310000,25110.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-21,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,80.0,80.0,80.0,80.0,80.0,84.0,1,10000,800.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-21,02,BRGE11,10,ALFA CONSORC,PNE EJ,0,R$,2.1,2.15,2.1,2.11,2.15,2.1,0.0,3,13000,27500.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,66
2001-02-22,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,80.0,80.0,80.0,80.0,80.0,84.0,3,230000,18400.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-22,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.58,6.58,6.58,6.58,6.58,6.58,7.5,2,200000,1316.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-02-22,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,14.01,14.01,14.01,14.01,14.01,14.01,17.8,1,100000,1401.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-02-23,02,PITI11,10,LF TEL,PN *P00,0,R$,1100.0,1100.0,1100.0,1100.0,1100.0,0.0,0.0,1,18754278,20629705.8,0.0,0,9999-12-31,1000,0.0,BRPITIA01PR7,102
2001-02-23,02,SBSP11,10,SABESP,ON *,0,R$,219.01,219.01,219.01,219.01,219.01,220.0,227.0,1,10000,2190.1,0.0,0,9999-12-31,1000,0.0,BRSBSPA03OR2,100
2001-02-23,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,81.0,81.0,81.0,81.0,81.0,80.0,84.0,3,990000,80190.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-28,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,81.0,81.0,81.0,81.0,81.0,78.5,83.0,1,20000,1620.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-01,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.6,6.6,6.6,6.6,6.6,6.61,7.5,1,100000,660.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-03-02,02,SBSP11,10,SABESP,ON *,0,R$,219.0,219.0,219.0,219.0,219.0,0.0,226.0,1,10000,2190.0,0.0,0,9999-12-31,1000,0.0,BRSBSPA03OR2,100
2001-03-02,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,81.1,81.1,81.1,81.1,81.1,81.1,84.0,1,70000,5677.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-05,02,BRGE11,10,ALFA CONSORC,PNE EJ,0,R$,2.2,2.2,2.2,2.2,2.2,2.1,0.0,2,5000,11000.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,66
2001-03-05,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.4,6.4,6.4,6.4,6.4,6.41,0.0,1,500000,3200.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-03-05,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,81.1,82.0,81.1,81.38,82.0,81.11,84.0,4,190000,15463.5,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-06,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,14.02,14.51,14.02,14.26,14.51,14.51,0.0,2,200000,2853.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-03-06,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.51,6.51,6.51,6.51,6.51,6.51,0.0,1,500000,3255.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-03-07,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.45,6.6,6.45,6.54,6.6,6.55,0.0,3,600000,3925.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-03-07,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,83.0,83.0,83.0,83.0,83.0,82.0,83.0,2,190000,15770.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
