2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
BAHI3,BAHI3,BAAM4,BAUH4,BALM3,BAUH4,BAHI4,AVIL3,BAHI3,BAZA3,BAZA3,BBDC3,BBDC4,BBDC4,BDLL3,BDLL4,BBSE3,BBAS3,BBDC3,BBDC4,BAUH4,AZUL4,AZUL4,AZEV3,AZEV3,AXIA7,AZTE3
BAHI4,BAHI4,BAHI3,BAZA3,BALM4,BAZA3,BAHI5,AVPL3,BAHI4,BBAS3,BBAS3,BBDC4,BBRK3,BBRK3,BDLL4,BEEF3,BDLL4,BBDC3,BBDC4,BBRK3,BAZA3,B3SA3,B3SA3,AZEV4,AZEV4,AZEV3,AZZA3
BARB3,BALM3,BAHI4,BBAS3,BAUH4,BBAS3,BALM3,BAHI3,BALM3,BBDC3,BBDC3,BBRK3,BDLL4,BBSE3,BEEF3,BEES3,BEEF3,BBDC4,BBRK3,BBSE3,BBAS3,BAHI3,BAHI3,AZUL4,AZUL4,AZEV4,B3SA3
BARB4,BALM4,BAHI5,BBDC3,BAZA3,BBDC3,BALM4,BAHI4,BALM4,BBDC4,BBDC4,BDLL4,BEEF3,BDLL3,BEES3,BEES4,BEES3,BBRK3,BBSE3,BDLL4,BBDC3,BALM3,BALM3,B3SA3,AZZA3,AZTE3,BALM3
BASU3,BARB3,BALM3,BBDC4,BBAS3,BBDC4,BAUH4,BAUH4,BAUH4,BBRK3,BBRK3,BEEF3,BEES3,BDLL4,BEES4,BEMA3,BEES4,BBSE3,BDLL4,BEEF3,BBDC4,BALM4,BALM4,BAHI3,B3SA3,AZUL4,BALM4
BASU5,BARB4,BALM4,BCAL6,BBDC3,BCAL6,BAZA3,BAZA3,BAZA3,BDLL3,BDLL3,BEES3,BEES4,BEEF3,BEMA3,BGIP3,BGIP3,BDLL3,BEEF3,BEES3,BBRK3,BAUH4,BAUH4,BALM3,BAHI3,AZZA3,BAUH4
BASU6,BAUH4,BAUH4,BDLL3,BBDC4,BDLL3,BBAS3,BBAS3,BBAS3,BDLL4,BDLL4,BEES4,BEMA3,BEES3,BGIP3,BGIP4,BGIP4,BDLL4,BEES3,BEES4,BBSE3,BAZA3,BAZA3,BALM4,BALM3,B3SA3,BAZA3
BAUH4,BAZA3,BAZA3,BDLL4,BCAL6,BDLL4,BBDC3,BBDC3,BBDC3,BEEF3,BEEF3,BEMA3,BGIP3,BEES4,BGIP4,BHGR3,BIOM3,BEEF3,BEES4,BGIP3,BEEF3,BBAS3,BBAS3,BAUH4,BALM4,BALM3,BBAS3
BAZA3,BBAS3,BBAS3,BECE3,BDLL3,BECE3,BBDC4,BBDC4,BBDC4,BEES3,BEES3,BGIP3,BGIP4,BEMA3,BHGR3,BICB3,BMEB3,BEES3,BGIP3,BGIP4,BEES3,BBDC3,BBDC3,BAZA3,BAUH4,BALM4,BBDC3
BBAS3,BBAS4,BBAS4,BECE4,BDLL4,BECE4,BCAL6,BBRK3,BBRK3,BEES4,BEES4,BGIP4,BHGR3,BGIP3,BICB3,BICB4,BMEB4,BEES4,BGIP4,BIDI3,BEES4,BBDC4,BBDC4,BBAS3,BAZA3,BAUH4,BBDC4
