DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,TOTNEG,QUATOT,VOLTOT,FATCOT,CODISI
2026-01-02,96,NATU3F,20,NATURA,ON      NM,R$,7.46,7.54,7.19,7.28,7.19,853,12211,88934.67,1,BRNATUACNOR6
2026-01-02,96,PTBL3F,20,PORTOBELLO,ON      NM,R$,3.22,3.28,3.16,3.23,3.23,99,1508,4872.78,1,BRPTBLACNOR8
2026-01-02,96,PTNT4F,20,PETTENATI,PN,R$,4.7,4.7,4.57,4.6,4.57,3,107,492.87,1,BRPTNTACNPR3
2026-01-02,96,PTNT3F,20,PETTENATI,ON,R$,8.67,8.67,8.5,8.54,8.5,4,5,42.74,1,BRPTNTACNOR6
2026-01-02,96,ASAI3F,20,ASSAI,ON      NM,R$,7.34,7.45,7.23,7.3,7.35,803,11860,86679.69,1,BRASAIACNOR0
2026-01-02,96,ARND3F,20,ARANDU,ON      NM,R$,1.01,1.01,1.01,1.01,1.01,8,68,68.68,1,BRARNDACNOR6
2026-01-02,96,ARML3F,20,ARMAC,ON      NM,R$,4.56,4.66,4.48,4.55,4.65,186,3330,15166.53,1,BRARMLACNOR1
2026-01-02,96,EMBJ3F,20,EMBRAER,ON      NM,R$,88.65,89.26,87.59,88.2,88.12,1920,19561,1725306.92,1,BREMBJACNOR1
2026-01-02,96,BPAC5F,20,BTGP BANCO,PNA EJ  N2,R$,11.44,11.58,11.2,11.34,11.21,69,700,7940.79,1,BRBPACACNPA0
2026-01-02,96,BPAC3F,20,BTGP BANCO,ON  EJ  N2,R$,37.01,40.29,35.38,38.21,39.85,227,1707,65239.33,1,BRBPACACNOR7
2026-01-02,96,BPAC11F,20,BTGP BANCO,UNT EJ  N2,R$,53.03,53.46,52.11,52.48,52.31,1269,12085,634238.64,1,BRBPACUNT006
2026-01-02,96,TKNO4F,20,TEKNO,PN,R$,204.0,215.0,204.0,207.66,215.0,3,3,623.0,1,BRTKNOACNPR5
2026-01-02,96,SBSP3F,20,SABESP,ON  EJB NM,R$,134.56,135.48,132.0,132.86,132.91,1361,13984,1857929.16,1,BRSBSPACNOR5
2026-01-02,96,RADL3F,20,RAIADROGASIL,ON  EB  NM,R$,23.51,24.1,23.46,23.81,23.61,1352,16722,398253.44,1,BRRADLACNOR0
2026-01-02,96,QUAL3F,20,QUALICORP,ON      NM,R$,2.3,2.35,2.25,2.3,2.3,425,6167,14220.7,1,BRQUALACNOR6
2026-01-02,96,AZUL80F,20,AZUL,BNS(PRE N2,R$,7500.0,7500.0,7500.0,7500.0,7500.0,1,100,75.0,10000,BRAZULN02PR6
2026-01-02,96,AZUL54F,20,AZUL,PN (P   N2,R$,1822.0,1900.0,900.0,1318.16,913.0,3016,3730992,491806.57,10000,BRAZULA02PR3
2026-01-02,96,AZTE3F,20,AZT ENERGIA,ON,R$,0.42,0.45,0.4,0.42,0.42,387,6002,2570.42,1,BRAZTEACNOR4
